ID,"Source (Author, Title, & Details)",Melville Reference Codes
<*47.,"Bartlett, William Henry, Forty Days in the Desert, on the Track of the Israelites; or, A Journey from Cairo, by Wady Feiran, to Mount Sinai and Petra, 5th ed. (New York: Scribner, [186-?]). [*Sealts #48] B: 707?;","C: 213, 315!, 333!, 687"
*48.,"Bartlett, William Henry, The Nile-Boat; or, Glimpses of the Land of Egypt, 5th ed. (New York: Scribner, [186-?]). [*Sealts #49]","C: 213, 315, 333"
*49.,"Bartlett, William Henry, Walks about the City and Environs of Jerusalem (London: Virtue, [186-?]). [*Sealts #50]","C: 213, 315!, 333!"
*50.,"Bayle, Pierre, An Historical and Critical Dictionary, trans. Jacob Tonson (London: Harper, 1710). [Sealts #51; *633]","M: 227; R: 229a; WJ: 139; MD: 133b, 139, 182, 223!, 227, 229, 229a, 235, 248, 302, 334, 339, 365a, 377c, 397a, 436, 441, 481d, 532, 675, 686b; P: 181, 227, 365a?, 441, 576b, 631, 675;"
-,B: 365a?;,"BT: 547; CM: 254, 435, 459c, 613; C: 227; TIM: 166, 229a, 377b, 489, 512b; BB: 227, 229a, 538; Unspec: 123, 129, 143, 146, 212, 213, 229a, 365a, 534d, 633!, 686b"
51,"Beale, Thomas, “Method of Taking the Whale” [chapter from The Natural History of the Sperm Whale (London, 1839)], Albany Argus (27 May 1839). [*212]",Unspec: 212
<*52.,"Beale, Thomas, The Natural History of the Sperm Whale To Which Is Added a Sketch of a South-Sea Whaling Voyage in Which the Author Was Personally Engaged [2d ed.] (London: Van Voorst, 1839). [*Sealts #52]","T: 133; MD: 133,147!, 148,165,182!, 198, 199, 201!, 213, 229, 377c, 440e, 473, 487, 602, 720"
52a.,"Beatty, William, The Death of Lord Nelson; 21 October 1805 (1807).",BB: 172a
*53.,"Beaumont, Francis, and John Fletcher, Fifty Comedies and Tragedies (London: Martyn [etc.], 1679). [*Sealts #53]","P: 181; E: 477; Unspec: 95,167, 316, 440a!"
<*54.,"Beckford, William, Vathek.An Arabian Tale ... With Notes, Critical and Expository with The Castle of Otranto. By Horace Walpole. The Bravo of Venice [by Heinrich Zschokke], trans. M. G. Lewis (London: Bentley, 1849), Standard Novels, no. 41. [*Sealts #54]","F2: 84; M: 439a; WJ: 416, 662a; MD: 363; BT: 480a; BP: 512b; C: 315; Unspec: 95, 100, 187a, 303, 333!, 380, 478, 550"
-,"Beckwith, George C.",see 12b.
